meeting_name,date_time,location,url
Finance and Audit Committee Meeting,"May 6, 2020, 9:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-05-06/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"May 6, 2020, 11:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-05-06/capital-programs-committee-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"May 11, 2020, 11:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-05-11/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Advisory Meeting | Riders' Transportation Access Group Meeting,"May 11, 2020, 5:30 PM","Virtual meeting, Boston, MA",www.mbta.com/events/2020-05-11/advisory-meeting-riders-transportation-access-group-meeting
Fiscal and Management Control Board Meeting,"May 21, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-05-21/fiscal-and-management-control-board-meeting
Worcester Union Station Virtual Public Meeting,"May 27, 2020, 5:30 PM","Virtual, Worcester, MA",www.mbta.com/events/2020-05-27/worcester-union-station-virtual-public-meeting
"BCIL Settlement Update Meeting, Presented by the Honorable Judge Patrick King","June 3, 2020, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-03/bcil-settlement-update-meeting-presented-the-honorable-judge-patrick-king
Wellesley Bacon Street Bridge Replacement Project Virtual Public Meeting,"June 3, 2020, 6:00 PM","Virtual, Wellesley, MA",www.mbta.com/events/2020-06-03/wellesley-bacon-street-bridge-replacement-project-virtual-public-meeting
East Cottage Street and Norfolk Avenue Bridges Replacement Project Virtual Public Meeting,"June 4, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-04/east-cottage-street-and-norfolk-avenue-bridges-replacement-project-virtual-public
Weston Intervale Road Bridge Replacement Project Virtual Public Meeting,"June 4, 2020, 6:00 PM","Virtual, Weston, MA",www.mbta.com/events/2020-06-04/weston-intervale-road-bridge-replacement-project-virtual-public-meeting
Fiscal and Management Control Board Meeting (Telephonic),"June 5, 2020, 4:00 PM",Telephonic,www.mbta.com/events/2020-06-05/fiscal-and-management-control-board-meeting-telephonic
Means-Tested Fares Challenge: Informational Webinar,"June 11, 2020, 11:00 AM","Virtual, Boston, MA",www.mbta.com/events/2020-06-11/means-tested-fares-challenge-informational-webinar
Fiscal and Management Control Board Meeting,"June 15, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-06-15/fiscal-and-management-control-board-meeting
Finance and Audit Committee Meeting,"June 17, 2020, 9:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-06-17/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"June 17, 2020, 10:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-06-17/capital-programs-committee-meeting
Lynn Transit Action Plan Advisory Committee Meeting #4,"June 18, 2020, 1:30 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-18/lynn-transit-action-plan-advisory-committee-meeting-4
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"June 22, 2020, 11:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-06-22/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Green Line Extension Virtual Public Meeting,"June 24, 2020, 5:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-24/green-line-extension-virtual-public-meeting
Quincy Bus Facility Virtual Public Meeting,"June 24, 2020, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-24/quincy-bus-facility-virtual-public-meeting
Means-Tested Fares Challenge: Informational Webinar,"June 25, 2020, 11:30 AM","Virtual, Boston, MA",www.mbta.com/events/2020-06-25/means-tested-fares-challenge-informational-webinar
Green Line C Branch Track and Intersection Upgrades Virtual Public Meeting,"June 29, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-06-29/green-line-c-branch-track-and-intersection-upgrades-virtual-public-meeting
Capital Programs Committee Meeting,"July 15, 2020, 11:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-07-15/capital-programs-committee-meeting
Advisory Meeting | Riders' Transportation Access Group Meeting,"July 16, 2020, 4:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-07-16/advisory-meeting-riders-transportation-access-group-meeting
Roslindale Robert Street Bridge Replacement Project Virtual Public Information Meeting,"July 16, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-07-16/roslindale-robert-street-bridge-replacement-project-virtual-public-information
Green Line E Branch Track and Intersections Upgrades Virtual Public Meeting,"July 23, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-07-23/green-line-e-branch-track-and-intersections-upgrades-virtual-public-meeting
Senior CharlieCard Event,"July 27, 2020, 11:00 AM","Sharon Communtiy Center, Lower Level, Adult Center/Council on Aging, Sharon, MA",www.mbta.com/events/2020-07-27/senior-charliecard-event
Reunión pública sobre los cambios al servicio de autobuses para otoño 2020,"August 12, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-08-12/reunion-publica-sobre-los-cambios-al-servicio-de-autobuses-para-otono-2020
Fall 2020 Bus Service Changes Public Meeting,"August 13, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-08-13/fall-2020-bus-service-changes-public-meeting
Finance and Audit Committee Meeting,"August 19, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-08-19/finance-and-audit-committee-meeting
